"fulldomain","b_fulldomain","category"
"nabtesco-ap.co.th",NULL,"CO"
"jointech.co.th",NULL,"CO"
"riki-garments.co.th",NULL,"CO"
"ไทยดิกชันนารี.th",NULL,"IDN"
"bpr.co.th",NULL,"CO"
"bonustravel.co.th","โบนัสการท่องเที่ยว.ธุรกิจ.ไทย","CO"
"คิวบิค.th",NULL,"IDN"
"สถานีโทรทัศน์สีกองทัพบกช่อง7.th",NULL,"IDN"
"prtech.co.th",NULL,"CO"
"เพชรจริก.th",NULL,"IDN"
"ymct.co.th",NULL,"CO"
"วารินวิชาชาติ.th",NULL,"IDN"
"sritani.ac.th",NULL,"AC"
"helukabel.co.th",NULL,"CO"
"thriven.co.th",NULL,"CO"
"norconsult.co.th",NULL,"CO"
"เกวลี.th",NULL,"IDN"
"อบตขนอม.th",NULL,"IDN"
"accsa.co.th","แอคเคานท์ติ้งแอนด์ซีสเต็มท์อะนาลิซิส.ธุรกิจ.ไทย","CO"
"jewelryclinic.co.th","คลีนิกอัญมณี.ธุรกิจ.ไทย","CO"
"banphai.ac.th","บ้านไผ่.ศึกษา.ไทย","AC"
"temptech.co.th",NULL,"CO"
"วิทยาลัยเทคนิคดอนเมือง.th",NULL,"IDN"
"aic.in.th",NULL,"IN"
"ธนะสุวรรณ.th",NULL,"IDN"
"imi.co.th",NULL,"CO"
"gerber.co.th",NULL,"CO"
"ซีอาร์เทค.th",NULL,"IDN"
"lambert.ac.th","ลัมแบรด์พิชญาลัย.ศึกษา.ไทย","AC"
"mvtv.co.th",NULL,"CO"
"dxnthai.co.th",NULL,"CO"
"a-team.co.th",NULL,"CO"
"cdn.co.th",NULL,"CO"
"พิสุทธิ์.th",NULL,"IDN"
"apc.in.th",NULL,"IN"
"bcat.ac.th","วิทยาลัยเกษตรและเทคโนโลยีบุรีรัมย์.ศึกษา.ไทย","AC"
"รุ่งกิจวัสดุการสร้าง.th",NULL,"IDN"
"hooth.co.th",NULL,"CO"
"โรเดอร์แอนด์ซวาร์ส.th",NULL,"IDN"
"อบตกําแพงเซา.th",NULL,"IDN"
"pharminar.co.th","ฟาร์มีน่า.ธุรกิจ.ไทย","CO"
"siya.ac.th",NULL,"AC"
"เนฟเทค.th",NULL,"IDN"
"mvs.ac.th","โรงเรียนอาชีวศึกษาแม่สาย.ศึกษา.ไทย","AC"
"sisley.co.th",NULL,"CO"
"crocs.in.th",NULL,"IN"
"chukai.co.th",NULL,"CO"
"อบตโพธิ์เสด็จ.th",NULL,"IDN"
"อบตท่าเรือ.th",NULL,"IDN"
"ซีดีจีเอส.th",NULL,"IDN"
"thairuang.co.th",NULL,"CO"
"เมดโฟกัส.th",NULL,"IDN"
"vision4.co.th",NULL,"CO"
"jjmall.co.th",NULL,"CO"
"เทอร์ริคอน.th",NULL,"IDN"
"โพรเทคทีฟ.th",NULL,"IDN"
"naraihotel.co.th",NULL,"CO"
"pnu.ac.th",NULL,"AC"
"แมสมาร์เก็ตติ้ง.th",NULL,"IDN"
"springbox.co.th",NULL,"CO"
"เตียวฮง.th",NULL,"IDN"
"snackjack.co.th",NULL,"CO"
"novatrenda.co.th",NULL,"CO"
"แมจิกซัน.th",NULL,"IDN"
"ipest.ac.th",NULL,"AC"
"t5yala.ac.th",NULL,"AC"
"grandy.co.th",NULL,"CO"
"alpine.co.th",NULL,"CO"
"sriharuthai.ac.th","โรงเรียนศรีหฤทัย.ศึกษา.ไทย","AC"
"บ้านสันกําแพง.th",NULL,"IDN"
"ศรีวิชัย.th",NULL,"IDN"
"โคคา.th",NULL,"IDN"
"เฟิสท์คลาส.th",NULL,"IDN"
"patumkongka.ac.th",NULL,"AC"
"impulsion.co.th",NULL,"CO"
"maneerak.co.th",NULL,"CO"
"mindmap.co.th",NULL,"CO"
"trend.co.th",NULL,"CO"
"macc.co.th",NULL,"CO"
"pil.in.th",NULL,"IN"
"วิทยาลัยสารพัดช่างภูเก็ต.th",NULL,"IDN"
"สํานักงานตรวจคนเข้าเมือง.th",NULL,"IDN"
"asiainsurance.co.th",NULL,"CO"
"cp.ac.th",NULL,"AC"
"วิชั่น.th",NULL,"IDN"
"คูลไอเดีย.th",NULL,"IDN"
"rmutl.ac.th",NULL,"AC"
"chairatchakarn.co.th",NULL,"CO"
"โรงพยาบาลสอยดาว.th",NULL,"IDN"
"ebara.co.th",NULL,"CO"
"sjn.ac.th",NULL,"AC"
"สยามพลาส.th",NULL,"IDN"
"ไฮโดรเท็ค.th",NULL,"IDN"
"kpsoft.co.th",NULL,"CO"
"กิ๊ปสัน.th",NULL,"IDN"
"เฟนเดอร์.th",NULL,"IDN"
"option.co.th",NULL,"CO"
"ไฮได.th",NULL,"IDN"
"sscs.co.th",NULL,"CO"
"powell.co.th",NULL,"CO"
"nps.ac.th",NULL,"AC"
"เนอสซิ่งโฮม.th",NULL,"IDN"
"suzuki.co.th",NULL,"CO"
"gaapsolutions.co.th",NULL,"CO"
"คิด.th",NULL,"IDN"
"dcs.ac.th",NULL,"AC"
"technofab.co.th",NULL,"CO"
"khanu.ac.th",NULL,"AC"
"อบตนาเคียน.th",NULL,"IDN"
"thaiproperty.co.th",NULL,"CO"
"katogolf.co.th",NULL,"CO"
"warin.ac.th",NULL,"AC"
"ทรีโอเทรดดิ้ง.th",NULL,"IDN"
"cni-eng.co.th",NULL,"CO"
"srk.ac.th",NULL,"AC"
"nettoday.co.th",NULL,"CO"
"โรงเรียนกําแพงวิทยา.th",NULL,"IDN"
"สมาร์ทไลฟ์.th",NULL,"IDN"
"ขพ.th",NULL,"IDN"
"taokaenoi.co.th",NULL,"CO"
"ts5.ac.th",NULL,"AC"
"enertech.co.th",NULL,"CO"
"gfadvance.co.th",NULL,"CO"
"mc.ac.th","โรงเรียนมัญจาศึกษา.ศึกษา.ไทย","AC"
"thumpin.ac.th",NULL,"AC"
"mocean.co.th",NULL,"CO"
"idprint.co.th",NULL,"CO"
"เฟิร์สพ้อย.th",NULL,"IDN"
"smeinter.co.th",NULL,"CO"
"ecotech.co.th",NULL,"CO"
"coiltech.co.th",NULL,"CO"
"จภชร.th",NULL,"IDN"
"ceramicsrus.co.th",NULL,"CO"
"ites.co.th",NULL,"CO"
"อบตมะม่วงสองต้น.th",NULL,"IDN"
"ราชมงคลรัตนโกสินทร์.th",NULL,"IDN"
"qualia.co.th","ควอเลีย.ธุรกิจ.ไทย","CO"
"เมกก้าอินโฟ.th",NULL,"IDN"
"erandaspa.co.th",NULL,"CO"
"met.co.th","เมเดน.ธุรกิจ.ไทย","CO"
"sekai.co.th",NULL,"CO"
"actionsports.co.th",NULL,"CO"
"tanakhon.ac.th","โรงเรียนท่านคร.ศึกษา.ไทย","AC"
"prakanong.ac.th","พระโขนง.ศึกษา.ไทย","AC"
"carlsonwagonlit.co.th",NULL,"CO"
"escothai.co.th",NULL,"CO"
"bns.co.th",NULL,"CO"
"เอทีซีแอลคอนซัลแทนส์.th",NULL,"IDN"
"nissui.co.th",NULL,"CO"
"eureka.co.th",NULL,"CO"
"มายการพิมพ์.th",NULL,"IDN"
"linepipe.co.th",NULL,"CO"
"wanthai.co.th",NULL,"CO"
"เม็นทฟีลด.th",NULL,"IDN"
"tcm.co.th",NULL,"CO"
"nuprocrop.co.th",NULL,"CO"
"repfloor.co.th",NULL,"CO"
"nicc.ac.th",NULL,"AC"
"เวียงป่าเป้าวิทยาคม.th",NULL,"IDN"
"metalware.co.th",NULL,"CO"
"ntp-k.co.th",NULL,"CO"
"calintertrade.co.th",NULL,"CO"
"kurita.co.th",NULL,"CO"
"sanki-thai.co.th",NULL,"CO"
"abss.ac.th",NULL,"AC"
"tongho.co.th",NULL,"CO"
"blizzard.co.th",NULL,"CO"
"warcraft.co.th",NULL,"CO"
"worldofwarcraft.co.th",NULL,"CO"
"พัทยา.th",NULL,"IDN"
"phcsuphan.ac.th",NULL,"AC"
"buddhajak.ac.th",NULL,"AC"
"nithifoods.co.th",NULL,"CO"
"osdev.co.th",NULL,"CO"
"teps.co.th",NULL,"CO"
"chiabsengheng.co.th",NULL,"CO"
"ดงเจน.th",NULL,"IDN"
"thepower.co.th",NULL,"CO"
"hubs.co.th",NULL,"CO"
"choengnoen.go.th",NULL,"GO"
"firstpro.co.th",NULL,"CO"
"firstone.co.th",NULL,"CO"
"scphub.ac.th",NULL,"AC"
"มัธยมวัดเบญจมบพิตร.th",NULL,"IDN"
"castem.co.th",NULL,"CO"
"แอ๊พโก้.th",NULL,"IDN"
"เวิลด์คอนสตรัคชั่น.th",NULL,"IDN"
"พลศึกษามหาสารคาม.th",NULL,"IDN"
"มัลติเทค.th",NULL,"IDN"
"ไฟเบอร์เทค.th",NULL,"IDN"
"คิวพอยท์.th",NULL,"IDN"
"บดินทรนนท์.th",NULL,"IDN"
"bangpramung.go.th","บางประมุง.รัฐบาล.ไทย","GO"
"เคียวเซกิ.th",NULL,"IDN"
"คีย์เอจท์.th",NULL,"IDN"
"เขาย้อยวิทยา.th",NULL,"IDN"
"citco.co.th",NULL,"CO"
"สวรรค์อนันต์.th",NULL,"IDN"
"ยะลาเขต1.th",NULL,"IDN"
"วิทยาลัยเทคนิคสิงห์บุรี.th",NULL,"IDN"
"jismachinery.co.th",NULL,"CO"
"pncc.ac.th","วิทยาลัยชุมชนปัตตานี.ศึกษา.ไทย","AC"
"plasticsolution.co.th","พลาสติกโซลูชั่น.ธุรกิจ.ไทย","CO"
"ksp.co.th",NULL,"CO"
"kobayashi-autoparts.co.th",NULL,"CO"
"วินนิ่ง.th",NULL,"IDN"
"srichand.co.th",NULL,"CO"
"แบตเตอรี่.th",NULL,"IDN"
"โรงเรียนพระแท่นดงรังวิทยาคาร.th",NULL,"IDN"
"htech.co.th",NULL,"CO"
"starchproducts.co.th",NULL,"CO"
"flexmedia.co.th",NULL,"CO"
"sfi.co.th",NULL,"CO"
"artanddesign.ac.th",NULL,"AC"
"resam.or.th",NULL,"OR"
"newmotech.co.th",NULL,"CO"
"ktst.co.th",NULL,"CO"
"บลูซีบรา.th",NULL,"IDN"
"mit.in.th","มิท.ไทย","IN"
"golden-pacific.co.th",NULL,"CO"
"armaniexchange.co.th",NULL,"CO"
"rmutsb.ac.th",NULL,"AC"
"เดคคา.th",NULL,"IDN"
"veerasilp.ac.th",NULL,"AC"
"geonaute.co.th","จีโอนอส.ธุรกิจ.ไทย","CO"
"geologic.co.th","จีออลโลจิก.ธุรกิจ.ไทย","CO"
"mtc.ac.th","วิทยาลัยเทคนิคมหาสารคาม.ศึกษา.ไทย","AC"
"ทาลอน.th",NULL,"IDN"
"ดาต้าวิซ.th",NULL,"IDN"
"ซันเทค.th",NULL,"IDN"
"tenhiko.co.th","เทนฮิโกะ.ธุรกิจ.ไทย","CO"
"toolnet.co.th",NULL,"CO"
"ampthailand.co.th","แอมป์ไทยแลนด์.ธุรกิจ.ไทย","CO"
"kornferry.co.th",NULL,"CO"
"cityleasing.co.th","ซิตี้ลิสซิ่ง.ธุรกิจ.ไทย","CO"
"ฮาริสัน.th",NULL,"IDN"
"บีทีคอนเนค.th",NULL,"IDN"
"cathaypacific.co.th",NULL,"CO"
"kpadvisory.co.th",NULL,"CO"
"รุ่งอรุณวิทยา.th",NULL,"IDN"
"cruset.co.th",NULL,"CO"
"tekserv.co.th",NULL,"CO"
"พัฒน์วิทย์.th",NULL,"IDN"
"kiss.co.th",NULL,"CO"
"tratpt.ac.th",NULL,"AC"
"นาบุญ.th",NULL,"IDN"
"nobugsoftware.co.th","โนบั๊กซอฟต์แวร์.ธุรกิจ.ไทย","CO"
"กันตังพิทยากร.th",NULL,"IDN"
"ferrotec.co.th",NULL,"CO"
"alliance-aec.co.th",NULL,"CO"
"โฮมเพ้นท์.th",NULL,"IDN"
"ednan1.go.th",NULL,"GO"
"ฮิดากาโยโก.th",NULL,"IDN"
"วายเอ็นซี.th",NULL,"IDN"
"บดินทรเดชา4.th",NULL,"IDN"
"thaistandardpipe.co.th",NULL,"CO"
"โอคุมุระไทย.th",NULL,"IDN"
"e-t-a.co.th",NULL,"CO"
"thailock.co.th",NULL,"CO"
"ออสซีริส.th",NULL,"IDN"
"จักรพงษภูวนารถ.th",NULL,"IDN"
"cma.in.th",NULL,"IN"
"grinding.co.th",NULL,"CO"
"bp.co.th",NULL,"CO"
"jutarat.ac.th",NULL,"AC"
"pongsawadi.ac.th",NULL,"AC"
"excelexport.co.th",NULL,"CO"
"chaichimplee.ac.th","ไชยฉิมพลีวิทยาคม.ศึกษา.ไทย","AC"
"cmc.co.th",NULL,"CO"
"dmc.co.th","ดีเอ็มซี.ธุรกิจ.ไทย","CO"
"cba.ac.th",NULL,"AC"
"สหกิจคริสเตียน.th",NULL,"IDN"
"ไนซ.th",NULL,"IDN"
"ศูนย์ฝึกอบรมและพัฒนาสุขภาพภาคใต้.th",NULL,"IDN"
"ishizaki.co.th",NULL,"CO"
"spshipping.co.th","เอสพีชิปปิ้ง.ธุรกิจ.ไทย","CO"
"โกแฮร์.th",NULL,"IDN"
"mylj.co.th",NULL,"CO"
"cleaning.in.th","การทําความสะอาด.ไทย","IN"
"chemical.in.th","เคมีเคิล.ไทย","IN"
"aerosol.in.th",NULL,"IN"
"detergent.in.th",NULL,"IN"
"พนมเบญจา.th",NULL,"IDN"
"rmutto.ac.th",NULL,"AC"
"prateab.ac.th",NULL,"AC"
"binaryline.co.th",NULL,"CO"
"dipsol.co.th",NULL,"CO"
"kvn.co.th",NULL,"CO"
"globalart.co.th",NULL,"CO"
"กุลโน.th",NULL,"IDN"
"servit.co.th",NULL,"CO"
"บิสคอม.th",NULL,"IDN"
"arsomsilp.in.th",NULL,"IN"
"นอร์ทพาวเวอร์.th",NULL,"IDN"
"บัญชีไทย.th",NULL,"IDN"
"ananta.co.th",NULL,"CO"
"windsorgolf.co.th",NULL,"CO"
"พร้าววิทยาคม.th",NULL,"IDN"
"sutechconsultant.co.th",NULL,"CO"
"winithorn.co.th",NULL,"CO"
"kudson.co.th",NULL,"CO"
"ploycenter.co.th",NULL,"CO"
"jum.co.th","จุมเอ็นจิเนียริ่ง.ธุรกิจ.ไทย","CO"
"tssc.co.th",NULL,"CO"
"ydt.co.th",NULL,"CO"
"ดมจ.th",NULL,"IDN"
"ipecp.ac.th",NULL,"AC"
"lcto.co.th",NULL,"CO"
"บล็อก.th",NULL,"IDN"
"เชียงดาว.th",NULL,"IDN"
"เจมส์คาร์.th",NULL,"IDN"
"itcorner.co.th",NULL,"CO"
"kation.co.th",NULL,"CO"
"senso.co.th",NULL,"CO"
"หันคาพิทยาคม.th",NULL,"IDN"
"mikimoto.co.th",NULL,"CO"
"paxnetwork.co.th",NULL,"CO"
"นิวทริเมด.th",NULL,"IDN"
"กาญจนาฉะเชิงเทรา.th",NULL,"IDN"
"ฟาร์มาฮอฟ.th",NULL,"IDN"
"surat1.go.th",NULL,"GO"
"ทรูฮิต.th",NULL,"IDN"
"carpetsinter.co.th",NULL,"CO"
"สอาด.th",NULL,"IDN"
"สื่อเพื่อเยาวชน.th",NULL,"IDN"
"solutioncontrol.co.th",NULL,"CO"
"วิคกี้เอนเตอร์ไพรซ์.th",NULL,"IDN"
"หมู่บ้านครูภาคเหนือ.th",NULL,"IDN"
"โปรฟาสซิโน.th",NULL,"IDN"
"ktb.go.th","กระทุ่มแบน.รัฐบาล.ไทย","GO"
"khunying.ac.th","ชะอําคุณหญิงเนื่องบุรี.ศึกษา.ไทย","AC"
"huahin.go.th","สํานักงานเทศบาลเมืองหัวหิน.รัฐบาล.ไทย","GO"
"ihc.co.th",NULL,"CO"
"ฟิฟดีไซน์.th",NULL,"IDN"
"โรงเรียนดรุณศึกษา.th",NULL,"IDN"
"thainiyom.ac.th",NULL,"AC"
"tpa.in.th",NULL,"IN"
"asiansmile.co.th",NULL,"CO"
"neural.co.th",NULL,"CO"
"mediaroad.co.th",NULL,"CO"
"medocine.co.th",NULL,"CO"
"dataglobe.co.th",NULL,"CO"
"สายปัญญารังสิต.th",NULL,"IDN"
"koei.co.th",NULL,"CO"
"kleen-tex.co.th",NULL,"CO"
"taisho.co.th",NULL,"CO"
"ย่งไทย.th",NULL,"IDN"
"ออลต้าแมค.th",NULL,"IDN"
"gemburi.co.th","เจมส์บุรี.ธุรกิจ.ไทย","CO"
"triplebridge.co.th",NULL,"CO"
"ดาวเทียม.th",NULL,"IDN"
"padpro.co.th",NULL,"CO"
"dayyoung.co.th",NULL,"CO"
"sangrung.co.th",NULL,"CO"
"cyberland.co.th",NULL,"CO"
"safcol.co.th",NULL,"CO"
"tthai.co.th",NULL,"CO"
"nw.ac.th",NULL,"AC"
"โฟว์เทค.th",NULL,"IDN"
"merchant.co.th",NULL,"CO"
"nittokohki.co.th",NULL,"CO"
"บุนนาค.th",NULL,"IDN"
"ckc.co.th",NULL,"CO"
"สวีทดรีม.th",NULL,"IDN"
"ckcengineering.co.th",NULL,"CO"
"ชพัฒนา.th",NULL,"IDN"
"iaw.co.th",NULL,"CO"
"อํานวยวิทย์.th",NULL,"IDN"
"ไอบิทซ์.th",NULL,"IDN"
"เอ็นไว.th",NULL,"IDN"
"วัน.th",NULL,"IDN"
"pv.ac.th",NULL,"AC"
"ยูนิแมค.th",NULL,"IDN"
"bsw.co.th",NULL,"CO"
"prp.ac.th",NULL,"AC"
"sanpatonghospital.go.th",NULL,"GO"
"beta.co.th",NULL,"CO"
"nanthana.ac.th",NULL,"AC"
"เอวีร่า.th",NULL,"IDN"
"ไฮมารีน.th",NULL,"IDN"
"windows.co.th","วินโดวส์.ธุรกิจ.ไทย","CO"
"siamcasting.co.th",NULL,"CO"
"macs.co.th",NULL,"CO"
"prann.co.th",NULL,"CO"
"greatengineering.co.th",NULL,"CO"
"pdn.co.th",NULL,"CO"
"niit-tech.co.th","เอ็นไอไอทีเทค.ธุรกิจ.ไทย","CO"
"open.co.th",NULL,"CO"
"mtechaudio.co.th",NULL,"CO"
"finland.or.th",NULL,"OR"
"aeonmed.co.th",NULL,"CO"
"โอเรียนเต็ลมอเตอร์เวิรคส์.th",NULL,"IDN"
"dtn.go.th",NULL,"GO"
"osea2.go.th",NULL,"GO"
"marathon.co.th",NULL,"CO"
"satian.co.th",NULL,"CO"
"nanomed.co.th",NULL,"CO"
"ytea.or.th",NULL,"OR"
"planetcomm.co.th",NULL,"CO"
"homesecurity.in.th",NULL,"IN"
"ธีรศาสตร์.th",NULL,"IDN"
"ทาเคเบะ.th",NULL,"IDN"
"magnolias.co.th",NULL,"CO"
"umeda.co.th",NULL,"CO"
"pharmainnova.co.th","ฟาร์ม่าอินโนวา.ธุรกิจ.ไทย","CO"
"อ็อคเทนซอฟท์.th",NULL,"IDN"
"กําแพงแสนวิทยา.th",NULL,"IDN"
"iris.co.th","ไอริสเรสซิเดนซ์.ธุรกิจ.ไทย","CO"
"pangew.go.th",NULL,"GO"
"digital-engineering.co.th",NULL,"CO"
"hadammara.ac.th",NULL,"AC"
"cga.co.th",NULL,"CO"
"แปซิฟิคโซลูชั่น.th",NULL,"IDN"
"globalsun.co.th",NULL,"CO"
"mctechnos.co.th",NULL,"CO"
"แอร์วอเตอร์.th",NULL,"IDN"
"egov.go.th",NULL,"GO"
"egovernment.go.th",NULL,"GO"
"ไทยลานนาฟาร์มผึ้ง.th",NULL,"IDN"
"suwanpit.ac.th","สุวรรณคูหาพิทยาสรรค์.ศึกษา.ไทย","AC"
"leeandsteel.co.th",NULL,"CO"
"ตงฮั้ว.th",NULL,"IDN"
"silomclinic.in.th",NULL,"IN"
"ตรังเขต1.th",NULL,"IDN"
"โรงเรียนสภาราชินี๒.th",NULL,"IDN"
"kto.or.th",NULL,"OR"
"yoskarn.co.th",NULL,"CO"
"tgo.co.th",NULL,"CO"
"interforklift.co.th","อินเตอร์ฟอร์คลิฟท์.ธุรกิจ.ไทย","CO"
"sakurarestaurant.co.th",NULL,"CO"
"fullfunction.co.th","ฟูลฟังก์ชั่น.ธุรกิจ.ไทย","CO"
"เคแอลเอส.th",NULL,"IDN"
"wsc.co.th",NULL,"CO"
"jhm.co.th","เจเอชเอ็ม.ธุรกิจ.ไทย","CO"
"ansb.or.th",NULL,"OR"
"swc.co.th",NULL,"CO"
"sm.co.th",NULL,"CO"
"tksoft.co.th",NULL,"CO"
"loc.co.th",NULL,"CO"
"sensor.co.th",NULL,"CO"
"yulgang.in.th","โยวกัง.ไทย","IN"
"axontech.co.th",NULL,"CO"
"inno.co.th",NULL,"CO"
"cptech.ac.th",NULL,"AC"
"vikuiti.co.th",NULL,"CO"
"dyneon.co.th",NULL,"CO"
"gcc.go.th",NULL,"GO"
"malachi.co.th",NULL,"CO"
"แอดแวนซ์ออลเทอร์เนทิฟส์.th",NULL,"IDN"
"pizzahut.co.th",NULL,"CO"
"dynamic-engineering.co.th",NULL,"CO"
"thaibma.or.th",NULL,"OR"
"ufinves.co.th",NULL,"CO"
"graphicsolution.co.th",NULL,"CO"
"sitours.co.th",NULL,"CO"
"ดูรามิกซ์.th",NULL,"IDN"
"โลบาส.th",NULL,"IDN"
"เอเธนส์บุ๊ค.th",NULL,"IDN"
"slk.co.th","เอสแอลเค.ธุรกิจ.ไทย","CO"
"kbl.co.th",NULL,"CO"
"tricab.co.th",NULL,"CO"
"softtech.co.th",NULL,"CO"
"quadtech.co.th",NULL,"CO"
"นิวฮอไรซั่นส์.th",NULL,"IDN"
"pgatour.co.th",NULL,"CO"
"มานาเคมิคอล.th",NULL,"IDN"
"officedesign.co.th",NULL,"CO"
"สตาร์ท.th",NULL,"IDN"
"pscmt.or.th",NULL,"OR"
"better-choice.co.th",NULL,"CO"
"เอเซียฮาน่าทัวร์.th",NULL,"IDN"
"siambattery.co.th",NULL,"CO"
"phayalae.ac.th",NULL,"AC"
"invincible.co.th",NULL,"CO"
"deegarden.co.th",NULL,"CO"
"anest-iwata.co.th",NULL,"CO"
"โรงเรียนโคราชพิทยาคม.th",NULL,"IDN"
"prcs.ac.th",NULL,"AC"
"เทศบาลตําบลวงฆ้อง.th",NULL,"IDN"
"อินสปาย์แวร์.th",NULL,"IDN"
"capitalok.co.th",NULL,"CO"
"laas.go.th",NULL,"GO"
"omron.co.th",NULL,"CO"
"maersksealand.co.th",NULL,"CO"
"ออริก้า.th",NULL,"IDN"
"ปัญญาภิวัฒน์.th",NULL,"IDN"
"ensp.co.th",NULL,"CO"
"tosplant.co.th",NULL,"CO"
"tnv.co.th",NULL,"CO"
"phuketthaihua.ac.th",NULL,"AC"
"สแลตวิค.th",NULL,"IDN"
"pgtech.co.th",NULL,"CO"
"chaiprakarn.ac.th","ไชยปราการ.ศึกษา.ไทย","AC"
"line.co.th",NULL,"CO"
"มาร์เก็ต-คอมส์.th",NULL,"IDN"
"bunyarak.ac.th",NULL,"AC"
"banlat.ac.th",NULL,"AC"
"วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช.th",NULL,"IDN"
"vegaauto.co.th",NULL,"CO"
"twinaccount.in.th",NULL,"IN"
"nttoolthai.co.th",NULL,"CO"
"kanijpongsa.co.th",NULL,"CO"
"โมดิฟาย.th",NULL,"IDN"
"ศูนย์บริการไทยรุ่งยูเนี่ยนคาร์.th",NULL,"IDN"
"วัดธรรมจริยาภิรมย์.th",NULL,"IDN"
"cmtca.or.th",NULL,"OR"
"forthtrack.co.th",NULL,"CO"
"atsa.co.th",NULL,"CO"
"genmac.co.th",NULL,"CO"
"circle.co.th",NULL,"CO"
"khaochakan.go.th",NULL,"GO"
"เอ็นซัพพลาย.th",NULL,"IDN"
"sarika.co.th",NULL,"CO"
"แฟนตาเซียวิลล่า.th",NULL,"IDN"
"วาเซดะ.th",NULL,"IDN"
"prodrives.co.th","โปรไดร์ฟซิสเต็ม.ธุรกิจ.ไทย","CO"
"kinetico.co.th",NULL,"CO"
"trust.co.th",NULL,"CO"
"เมืองพล.th",NULL,"IDN"
"คณะกรรมการกลางอิสลามแห่งประเทศไทย.th",NULL,"IDN"
